Name;YT Scope Project;
File;C:\Users\Tobno\Desktop\MAINFRIC.csv;
Starttime of export;134225416292140000;onsdag 6. mai 2026;13:47:09.214
Endtime of export;134225416573394775;onsdag 6. mai 2026;13:47:37.339


Name;fMain_Spool;Name;fU;Name;fMain_Position_mm;Name;fMain_Pa_bar;Name;fMain_Pa_Cyl_bar;Name;fMain_Pb_bar;Name;fPs_bar
870;-0.00082399975585190077;870;0;870;348.103943;870;0.0122074038;870;53.70037;870;0.183111057;870;152.3484
880;-0.00076296273689990812;880;0;880;348.103943;880;0.0244148076;880;53.6149178;880;0.170903653;880;152.3484
890;-0.00076296273689990812;890;0;890;348.180878;890;0.0244148076;890;53.5905037;890;0.170903653;890;152.311783
900;-0.00094607379375588607;900;0;900;348.142426;900;0.0122074038;900;53.6149178;900;0.170903653;900;152.3484
910;-0.00094607379375588607;910;0;910;348.142426;910;0.0122074038;910;53.5782967;910;0.170903653;910;152.372818
920;-0.00094607379375588607;920;0;920;348.103943;920;0.0122074038;920;53.5294647;920;0.170903653;920;152.372818
930;-0.00088503677480389342;930;0;930;348.103943;930;0;930;53.65154;930;0.207525864;930;152.482681
940;-0.00094607379375588607;940;0;940;348.142426;940;0;940;53.73699;940;0.207525864;940;152.433853
950;-0.00088503677480389342;950;0;950;348.142426;950;0.0122074038;950;53.6271248;950;0.207525864;950;152.397232
960;-0.0010071108127078787;960;0;960;348.06546;960;0;960;53.5905037;960;0.183111057;960;152.397232
970;-0.00082399975585190077;970;0;970;348.06546;970;0;970;53.5782967;970;0.183111057;970;152.360611
980;-0.00088503677480389342;980;0;980;348.103943;980;0;980;53.54167;980;0.183111057;980;152.360611
990;-0.00082399975585190077;990;0;990;348.103943;990;0;990;53.6271248;990;0.183111057;990;152.494888
1000;-0.00082399975585190077;1000;0;1000;348.06546;1000;0;1000;53.6881638;1000;0.207525864;1000;152.482681
1010;-0.0010681478316598714;1010;0;1010;348.103943;1010;0;1010;53.7125778;1010;0.219733268;1010;152.372818
1020;-0.00094607379375588607;1020;0;1020;348.103943;1020;0;1020;53.6149178;1020;0.219733268;1020;152.32399
1030;-0.00082399975585190077;1030;0;1030;348.103943;1030;0.0122074038;1030;53.4928436;1030;0.183111057;1030;152.275162
1040;-0.00076296273689990812;1040;0;1040;348.180878;1040;0.0122074038;1040;53.4195976;1040;0.183111057;1040;152.3362
1050;-0.00082399975585190077;1050;0;1050;348.142426;1050;0.0122074038;1050;53.5782967;1050;0.183111057;1050;152.3484
1060;-0.00076296273689990812;1060;0;1060;348.103943;1060;0;1060;53.70037;1060;0.183111057;1060;152.44606
1070;-0.00094607379375588607;1070;0;1070;348.142426;1070;0;1070;53.6637459;1070;0.170903653;1070;152.494888
1080;-0.00082399975585190077;1080;0;1080;348.142426;1080;0;1080;53.73699;1080;0.183111057;1080;152.44606
1090;-0.00082399975585190077;1090;0;1090;348.103943;1090;0;1090;53.70037;1090;0.183111057;1090;152.458267
1100;-0.00082399975585190077;1100;0;1100;348.142426;1100;0.0122074038;1100;53.7125778;1100;0.183111057;1100;152.409439
1110;-0.00076296273689990812;1110;0;1110;348.142426;1110;0.0122074038;1110;53.6881638;1110;0.207525864;1110;152.3362
1120;-0.00088503677480389342;1120;0;1120;348.103943;1120;0;1120;53.6759529;1120;0.207525864;1120;152.275162
1130;-0.00088503677480389342;1130;0;1130;348.103943;1130;0.0122074038;1130;53.60271;1130;0.219733268;1130;152.311783
1140;-0.00076296273689990812;1140;0;1140;348.06546;1140;0;1140;53.60271;1140;0.219733268;1140;152.3362
1150;-0.00057985168004393017;1150;0;1150;348.103943;1150;0;1150;53.6637459;1150;0.207525864;1150;152.299576
1160;-0.00088503677480389342;1160;0;1160;348.142426;1160;0;1160;53.65154;1160;0.183111057;1160;152.3484
1170;-0.00082399975585190077;1170;0;1170;348.103943;1170;0;1170;53.6759529;1170;0.207525864;1170;152.372818
1180;-0.00082399975585190077;1180;0;1180;348.103943;1180;0;1180;53.5782967;1180;0.207525864;1180;152.397232
1190;-0.00094607379375588607;1190;0;1190;348.103943;1190;0;1190;53.60271;1190;0.183111057;1190;152.3484
1200;-0.00094607379375588607;1200;0;1200;348.103943;1200;0;1200;53.60271;1200;0.170903653;1200;152.311783
1210;-0.00094607379375588607;1210;0;1210;348.06546;1210;0.0122074038;1210;53.5905037;1210;0.170903653;1210;152.299576
1220;-0.00094607379375588607;1220;0;1220;348.103943;1220;0.0122074038;1220;53.6637459;1220;0.183111057;1220;152.32399
1230;-0.00088503677480389342;1230;0;1230;348.142426;1230;0;1230;53.6271248;1230;0.207525864;1230;152.311783
1240;-0.00082399975585190077;1240;0;1240;348.142426;1240;0;1240;53.56609;1240;0.207525864;1240;152.32399
1250;-0.00088503677480389342;1250;0;1250;348.103943;1250;0;1250;53.5905037;1250;0.219733268;1250;152.360611
1260;-0.00076296273689990812;1260;0;1260;348.142426;1260;0;1260;53.73699;1260;0.231940672;1260;152.3362
1270;-0.00088503677480389342;1270;0;1270;348.142426;1270;0;1270;53.6637459;1270;0.207525864;1270;152.3484
