Name;YT Scope Project;
File;C:\Users\Tobno\Desktop\JibHard2.csv;
Starttime of export;134226361040610000;torsdag 7. mai 2026;16:01:44.061
Endtime of export;134226362083010000;torsdag 7. mai 2026;16:03:28.301


Name;fXRef_mm;Name;fXReal_mm;Name;fError_mm;Name;fXDotRef;Name;fU_FF;Name;fU_PID;Name;fPs_bar;Name;fJib_Pa_bar;Name;fJib_Pb_bar;Name;fJib_Pa_Cyl_bar;Name;fJib_Pb_Cyl_bar
1480;0;1480;299.483582;1480;0;1480;0;1480;0;1480;0;1480;0.378429532;1480;61.1468849;1480;49.7573776;1480;64.2963943;1480;78.811
1490;0;1490;299.405884;1490;0;1490;0;1490;0;1490;0;1490;0.354014724;1490;61.232338;1490;49.794;1490;64.32081;1490;78.71334
1500;0;1500;299.405884;1500;0;1500;0;1500;0;1500;0;1500;0.354014724;1500;61.2811661;1500;49.8550377;1500;64.32081;1500;78.78658
1510;0;1510;299.444733;1510;0;1510;0;1510;0;1510;0;1510;0.3418073;1510;61.12247;1510;49.89166;1510;64.2963943;1510;78.88425
1520;0;1520;299.444733;1520;0;1520;0;1520;0;1520;0;1520;0.3418073;1520;61.0126038;1520;49.8550377;1520;64.39406;1520;78.87203
1530;0;1530;299.444733;1530;0;1530;0;1530;0;1530;0;1530;0.329599917;1530;61.12247;1530;49.87945;1530;64.45509;1530;78.8598251
1540;0;1540;299.405884;1540;0;1540;0;1540;0;1540;0;1540;0.378429532;1540;61.1713;1540;49.84283;1540;64.4062653;1540;78.92087
1550;0;1550;299.405884;1550;0;1550;0;1550;0;1550;0;1550;0.415051728;1550;61.1713;1550;49.8672447;1550;64.36964;1550;78.92087
1560;0;1560;299.444733;1560;0;1560;0;1560;0;1560;0;1560;0.40284434;1560;61.1957169;1560;49.9160728;1560;64.2963943;1560;78.79879
1570;0;1570;299.444733;1570;0;1570;0;1570;0;1570;0;1570;0.354014724;1570;61.1713;1570;49.8306236;1570;64.3086;1570;78.811
1580;0;1580;299.444733;1580;0;1580;0;1580;0;1580;0;1580;0.329599917;1580;61.232338;1580;49.8184166;1580;64.3086;1580;78.83541
1590;0;1590;299.405884;1590;0;1590;0;1590;0;1590;0;1590;0.40284434;1590;61.2933731;1590;49.8550377;1590;64.25977;1590;78.72555
1600;0;1600;299.405884;1600;0;1600;0;1600;0;1600;0;1600;0.451673955;1600;61.2811661;1600;49.8672447;1600;64.27198;1600;78.74996
1610;0;1610;299.405884;1610;0;1610;0;1610;0;1610;0;1610;0.415051728;1610;61.244545;1610;49.8550377;1610;64.27198;1610;78.83541
1620;0;1620;299.405884;1620;0;1620;0;1620;0;1620;0;1620;0.3418073;1620;61.12247;1620;49.89166;1620;64.28419;1620;78.88425
1630;0;1630;299.444733;1630;0;1630;0;1630;0;1630;0;1630;0.354014724;1630;61.02481;1630;49.89166;1630;64.25977;1630;78.933075
1640;0;1640;299.444733;1640;0;1640;0;1640;0;1640;0;1640;0.3418073;1640;61.08585;1640;49.89166;1640;64.24757;1640;78.969696
1650;0;1650;299.444733;1650;0;1650;0;1650;0;1650;0;1650;0.390636921;1650;61.1102638;1650;49.8550377;1650;64.3086;1650;78.8964539
1660;0;1660;299.444733;1660;0;1660;0;1660;0;1660;0;1660;0.390636921;1660;61.02481;1660;49.84283;1660;64.35743;1660;78.8598251
1670;0;1670;299.444733;1670;0;1670;0;1670;0;1670;0;1670;0.3051851;1670;61.0980568;1670;49.9160728;1670;64.32081;1670;78.8598251
1680;0;1680;299.444733;1680;0;1680;0;1680;0;1680;0;1680;0.3418073;1680;61.1590919;1680;49.89166;1680;64.2963943;1680;78.90866
1690;0;1690;299.444733;1690;0;1690;0;1690;0;1690;0;1690;0.378429532;1690;61.12247;1690;49.8672447;1690;64.28419;1690;78.8598251
1700;0;1700;299.405884;1700;0;1700;0;1700;0;1700;0;1700;0.329599917;1700;61.1590919;1700;49.8672447;1700;64.19874;1700;78.78658
1710;0;1710;299.405884;1710;0;1710;0;1710;0;1710;0;1710;0.2929777;1710;61.0980568;1710;49.8672447;1710;64.174324;1710;78.8598251
1720;0;1720;299.405884;1720;0;1720;0;1720;0;1720;0;1720;0.3173925;1720;61.0126038;1720;49.94049;1720;64.22315;1720;78.92087
1730;0;1730;299.405884;1730;0;1730;0;1730;0;1730;0;1730;0.378429532;1730;61.08585;1730;49.9526978;1730;64.2963943;1730;78.88425
