Name;YT Scope Project;
File;C:\Users\Tobno\Desktop\JIBFRIC.csv;
Starttime of export;134225418299840000;onsdag 6. mai 2026;13:50:29.984
Endtime of export;134225418629540000;onsdag 6. mai 2026;13:51:02.954


Name;fJib_Pa_bar;Name;fJib_Pb_bar;Name;fJib_Pa_Cyl_bar;Name;fJib_Pb_Cyl_bar;Name;fJib_Position_mm;Name;fPs_bar;Name;fU;Name;fJib_Spool
650;4.651021;650;92.03162;650;61.7938766;650;88.3205643;650;349.7415;650;153.617966;650;-0.19874122777800537;650;-0.19449446089053007
660;4.60219145;660;91.97058;660;61.7694626;660;88.28394;660;349.7415;660;153.483688;660;-0.19891668254127431;660;-0.19437238685262609
670;4.48011732;670;91.81188;670;61.69622;670;88.22291;670;349.701965;670;153.556931;670;-0.19821608021129566;670;-0.19309060945463424
680;4.41908026;680;91.7630539;680;61.6107674;680;88.198494;680;349.701965;680;153.5081;680;-0.19833757006038402;680;-0.19211401715140236
690;4.46791;690;91.6043549;690;61.6107674;690;88.0397949;690;349.6229;690;153.43486;690;-0.19691232332441216;690;-0.1918088320566424
700;4.38245773;700;91.6776047;700;61.6718025;700;87.8811;700;349.701965;700;153.5081;700;-0.19850866085941615;700;-0.1909543137913145
710;4.21155453;710;91.53111;710;61.5131073;710;87.7102;710;349.6229;710;153.386032;710;-0.19707778542762433;710;-0.1909543137913145
720;4.12610245;720;91.348;720;61.4154472;720;87.66137;720;349.583344;720;153.386032;720;-0.19632869199890404;720;-0.18955046235541867
730;4.15051746;730;91.29917;730;61.3910332;730;87.61253;730;349.543823;730;153.154083;730;-0.19569382283276804;730;-0.18961149937437066
740;4.16272449;740;91.11606;740;61.30558;740;87.42943;740;349.504272;740;153.141876;740;-0.19492174434050097;740;-0.18857387005218662
750;4.077273;750;91.06723;750;61.329998;750;87.35618;750;349.504272;750;153.1785;750;-0.19491695991163682;750;-0.18863490707113861
760;3.91857672;760;91.12827;760;61.256752;760;87.30735;760;349.543823;760;153.141876;760;-0.19571185573198116;760;-0.18814661091952267
770;3.83312488;770;91.03061;770;61.1102638;770;87.23411;770;349.543823;770;153.056427;770;-0.19570385183198502;770;-0.18778038880581072
780;3.72325826;780;90.847496;780;61.0736427;780;87.14866;780;349.464752;780;153.056427;780;-0.19412220111128642;780;-0.18662068544572286
790;3.79650259;790;90.87191;790;61.0126038;790;87.13645;790;349.34613;790;152.970978;790;-0.19187323489757122;790;-0.18564409314249097
800;3.82091737;800;90.74984;800;60.92715;800;86.97775;800;349.34613;800;152.970978;800;-0.19178661758682683;800;-0.18655964842677086
810;3.55235457;810;90.74984;810;60.9637756;810;86.9655457;810;349.4252;810;153.093048;810;-0.19318874409848202;810;-0.18570513016144297
820;3.540147;820;90.62777;820;60.9027367;820;86.8801;820;349.3066;820;152.983185;820;-0.19085672226662212;820;-0.18546098208563483
830;3.58897662;830;90.56673;830;60.8294945;830;86.7702255;830;349.227539;830;152.970978;830;-0.18924981644167216;830;-0.184057130649739
840;3.625599;840;90.38362;840;60.8294945;840;86.79464;840;349.227539;840;152.897736;840;-0.18911180909845132;840;-0.184057130649739
850;3.49131751;850;90.22492;850;60.74404;850;86.58711;850;349.227539;850;153.0198;850;-0.188906841915285;850;-0.18356883449812306
860;3.21054721;860;90.31037;860;60.7318344;860;86.47725;860;349.227539;860;152.983185;860;-0.18881314325956353;860;-0.18338572344126708
870;3.18613243;870;90.1883;870;60.5975533;870;86.42842;870;349.188;870;152.92215;870;-0.18789709934338841;870;-0.18173772392956328
880;3.22275472;880;90.13947;880;60.4998932;880;86.40401;880;349.148468;880;152.946564;880;-0.18696312446964836;880;-0.18076113162633139
890;3.22275472;890;89.99298;890;60.5853462;890;86.294136;890;349.029846;890;152.995392;890;-0.18447633247560907;890;-0.18131046479689933
900;3.22275472;900;90.13947;900;60.57314;900;86.2331;900;349.029846;900;153.056427;900;-0.18431212892683252;900;-0.18033387249366745
910;3.16171765;910;90.04181;910;60.4510651;910;86.0988159;910;349.108917;910;152.970978;910;-0.18560655324798947;910;-0.17996765037995549
920;3.0640583;920;89.83428;920;60.4022331;920;86.0988159;920;349.108917;920;153.0198;920;-0.18531395634569975;920;-0.17893002105777162
